Godot Engine v4.5.stable.official.876b29033 - https://godotengine.org
Vulkan 1.3.215 - Forward+ - Using Device #0: Intel - Intel(R) UHD Graphics

State changed to: 1
Fajen raw_accel: (-2.018551, -0.21963) | applied: (-2.018551, -0.21963) | virtual_vel: (-0.033643, -0.003661) | repulsion: 2.01855105906725 | danger_throttle: 0.95962897881866
Fajen raw_accel: (-1.778589, -0.217442) | applied: (-1.778589, -0.217442) | virtual_vel: (-0.063286, -0.007285) | repulsion: 1.92578859999776 | danger_throttle: 0.96148422800004
Fajen raw_accel: (-1.550118, -0.602272) | applied: (-1.550118, -0.602272) | virtual_vel: (-0.089121, -0.017322) | repulsion: 2.19844198226929 | danger_throttle: 0.95603116035461
Fajen raw_accel: (-1.333768, -1.022309) | applied: (-1.333768, -1.022309) | virtual_vel: (-0.11135, -0.034361) | repulsion: 2.55422639846802 | danger_throttle: 0.94891547203064
Fajen raw_accel: (-1.130028, -1.819799) | applied: (-1.130028, -1.819799) | virtual_vel: (-0.130184, -0.064691) | repulsion: 3.30805337429047 | danger_throttle: 0.93383893251419
Fajen raw_accel: (-0.939243, -3.053296) | applied: (-0.939243, -3.053296) | virtual_vel: (-0.145838, -0.115579) | repulsion: 4.53934013843536 | danger_throttle: 0.90921319723129
Fajen raw_accel: (-0.761609, -4.834254) | applied: (-0.761609, -4.834254) | virtual_vel: (-0.158532, -0.19615) | repulsion: 6.38451683521271 | danger_throttle: 0.87230966329575
Fajen raw_accel: (-0.597179, -7.095058) | applied: (-0.597179, -7.095058) | virtual_vel: (-0.168485, -0.314401) | repulsion: 8.81361138820648 | danger_throttle: 0.82372777223587
Fajen raw_accel: (-0.445878, -9.435952) | applied: (-0.445878, -9.435952) | virtual_vel: (-0.175916, -0.471667) | repulsion: 11.4739561080933 | danger_throttle: 0.77052087783813
Fajen raw_accel: (-0.3075, -11.14957) | applied: (-0.3075, -11.14957) | virtual_vel: (-0.181041, -0.657493) | repulsion: 13.6965533494949 | danger_throttle: 0.7260689330101
Fajen raw_accel: (-0.181733, -11.63323) | applied: (-0.181733, -11.63323) | virtual_vel: (-0.18407, -0.85138) | repulsion: 14.8710364103317 | danger_throttle: 0.70257927179337
Fajen raw_accel: (-0.068166, -10.97387) | applied: (-0.068166, -10.97387) | virtual_vel: (-0.176264, -0.984343) | repulsion: 15.0123562812805 | danger_throttle: 0.69975287437439
Fajen raw_accel: (-0.00569, -9.95819) | applied: (-0.00569, -9.95819) | virtual_vel: (-0.151543, -0.988451) | repulsion: 14.6036412715912 | danger_throttle: 0.70792717456818
Fajen raw_accel: (-0.023018, 2.599983) | applied: (-0.023018, 2.599983) | virtual_vel: (-0.151927, -0.945118) | repulsion: 2.16412159614265 | danger_throttle: 0.95671756807715
Fajen raw_accel: (0.061685, 2.401099) | applied: (0.061685, 2.401099) | virtual_vel: (-0.150899, -0.905099) | repulsion: 2.27058650925756 | danger_throttle: 0.95458826981485
Fajen raw_accel: (0.13674, 2.268564) | applied: (0.13674, 2.268564) | virtual_vel: (-0.14862, -0.86729) | repulsion: 2.3287405744195 | danger_throttle: 0.95342518851161
Fajen raw_accel: (0.202701, 2.183734) | applied: (0.202701, 2.183734) | virtual_vel: (-0.145242, -0.830894) | repulsion: 2.34933003969491 | danger_throttle: 0.9530133992061
Fajen raw_accel: (0.260136, 2.132599) | applied: (0.260136, 2.132599) | virtual_vel: (-0.140906, -0.795351) | repulsion: 2.34126066043973 | danger_throttle: 0.95317478679121
Fajen raw_accel: (0.309616, 2.104574) | applied: (0.309616, 2.104574) | virtual_vel: (-0.135746, -0.760275) | repulsion: 2.31170538067818 | danger_throttle: 0.95376589238644
Fajen raw_accel: (0.351713, 2.091659) | applied: (0.351713, 2.091659) | virtual_vel: (-0.129884, -0.725414) | repulsion: 2.26637158356607 | danger_throttle: 0.95467256832868
Fajen raw_accel: (0.386985, 2.087823) | applied: (0.386985, 2.087823) | virtual_vel: (-0.123434, -0.690617) | repulsion: 2.20976675208658 | danger_throttle: 0.95580466495827
Fajen raw_accel: (0.41598, 2.088558) | applied: (0.41598, 2.088558) | virtual_vel: (-0.116501, -0.655807) | repulsion: 2.14543026871979 | danger_throttle: 0.9570913946256
Fajen raw_accel: (0.439223, 2.090541) | applied: (0.439223, 2.090541) | virtual_vel: (-0.109181, -0.620965) | repulsion: 2.07612180802971 | danger_throttle: 0.95847756383941
Fajen raw_accel: (0.457221, 2.091364) | applied: (0.457221, 2.091364) | virtual_vel: (-0.10156, -0.586109) | repulsion: 2.00397731363773 | danger_throttle: 0.95992045372725
Fajen raw_accel: (0.470455, 2.089343) | applied: (0.470455, 2.089343) | virtual_vel: (-0.093719, -0.551287) | repulsion: 1.93062906246632 | danger_throttle: 0.96138741875067
Fajen raw_accel: (0.479381, 2.083347) | applied: (0.479381, 2.083347) | virtual_vel: (-0.08573, -0.516564) | repulsion: 1.85731084086001 | danger_throttle: 0.9628537831828
Fajen raw_accel: (0.48443, 2.072679) | applied: (0.48443, 2.072679) | virtual_vel: (-0.077656, -0.482019) | repulsion: 1.78493736498058 | danger_throttle: 0.96430125270039
Fajen raw_accel: (0.486004, 2.056968) | applied: (0.486004, 2.056968) | virtual_vel: (-0.069556, -0.447737) | repulsion: 1.71417175233364 | danger_throttle: 0.96571656495333
Fajen raw_accel: (0.484482, 2.036096) | applied: (0.484482, 2.036096) | virtual_vel: (-0.061481, -0.413802) | repulsion: 1.64547668490559 | danger_throttle: 0.96709046630189
Fajen raw_accel: (0.480216, 2.01013) | applied: (0.480216, 2.01013) | virtual_vel: (-0.053478, -0.3803) | repulsion: 1.57916007097811 | danger_throttle: 0.96841679858044
Fajen raw_accel: (0.47353, 1.979272) | applied: (0.47353, 1.979272) | virtual_vel: (-0.045585, -0.347312) | repulsion: 1.51541080605239 | danger_throttle: 0.96969178387895
Fajen raw_accel: (0.464729, 1.943823) | applied: (0.464729, 1.943823) | virtual_vel: (-0.03784, -0.314915) | repulsion: 1.45432141795754 | danger_throttle: 0.97091357164085
Fajen raw_accel: (0.45409, 1.904143) | applied: (0.45409, 1.904143) | virtual_vel: (-0.030272, -0.283179) | repulsion: 1.39591957163066 | danger_throttle: 0.97208160856739
Fajen raw_accel: (0.441871, 1.860636) | applied: (0.441871, 1.860636) | virtual_vel: (-0.022907, -0.252168) | repulsion: 1.34017755044624 | danger_throttle: 0.97319644899108
Fajen raw_accel: (0.428309, 1.813727) | applied: (0.428309, 1.813727) | virtual_vel: (-0.015769, -0.22194) | repulsion: 1.2870304142125 | danger_throttle: 0.97425939171575
Fajen raw_accel: (0.413619, 1.763842) | applied: (0.413619, 1.763842) | virtual_vel: (-0.008875, -0.192542) | repulsion: 1.23638693895191 | danger_throttle: 0.97527226122096
Fajen raw_accel: (0.398, 1.711416) | applied: (0.398, 1.711416) | virtual_vel: (-0.002242, -0.164019) | repulsion: 1.18813868286088 | danger_throttle: 0.97623722634278
Fajen raw_accel: (0.381632, 1.656859) | applied: (0.381632, 1.656859) | virtual_vel: (0.004119, -0.136404) | repulsion: 1.14216474210843 | danger_throttle: 0.97715670515783
Fajen raw_accel: (0.364679, 1.600568) | applied: (0.364679, 1.600568) | virtual_vel: (0.010197, -0.109728) | repulsion: 1.09834032645449 | danger_throttle: 0.97803319347091
Fajen raw_accel: (0.347291, 1.542919) | applied: (0.347291, 1.542919) | virtual_vel: (0.015985, -0.084013) | repulsion: 1.05653628567234 | danger_throttle: 0.97886927428655
Fajen raw_accel: (0.329601, 1.484263) | applied: (0.329601, 1.484263) | virtual_vel: (0.021478, -0.059275) | repulsion: 1.01662565814331 | danger_throttle: 0.97966748683713
Fajen raw_accel: (0.311814, 1.425753) | applied: (0.311814, 1.425753) | virtual_vel: (0.026675, -0.035512) | repulsion: 0.9776519536972 | danger_throttle: 1.0
Fajen raw_accel: (0.294094, 1.368355) | applied: (0.294094, 1.368355) | virtual_vel: (0.031577, -0.012707) | repulsion: 0.93876839661971 | danger_throttle: 1.0
Fajen raw_accel: (0.276347, 1.310469) | applied: (0.276347, 1.310469) | virtual_vel: (0.036183, 0.009135) | repulsion: 0.90163097251207 | danger_throttle: 1.0
Fajen raw_accel: (0.258669, 1.252378) | applied: (0.258669, 1.252378) | virtual_vel: (0.040494, 0.030008) | repulsion: 0.86611771397293 | danger_throttle: 1.0
Fajen raw_accel: (0.241144, 1.194337) | applied: (0.241144, 1.194337) | virtual_vel: (0.044513, 0.049913) | repulsion: 0.83211538102478 | danger_throttle: 1.0
Fajen raw_accel: (0.223847, 1.136573) | applied: (0.223847, 1.136573) | virtual_vel: (0.048244, 0.068856) | repulsion: 0.79951881780289 | danger_throttle: 1.0
Fajen raw_accel: (0.20684, 1.079289) | applied: (0.20684, 1.079289) | virtual_vel: (0.051691, 0.086844) | repulsion: 0.76823072112165 | danger_throttle: 1.0
Fajen raw_accel: (0.190182, 1.022661) | applied: (0.190182, 1.022661) | virtual_vel: (0.054861, 0.103889) | repulsion: 0.73816283047199 | danger_throttle: 1.0
Fajen raw_accel: (0.173921, 0.966848) | applied: (0.173921, 0.966848) | virtual_vel: (0.057759, 0.120003) | repulsion: 0.70923298643902 | danger_throttle: 1.0
Fajen raw_accel: (0.158097, 0.911983) | applied: (0.158097, 0.911983) | virtual_vel: (0.060394, 0.135202) | repulsion: 0.68136758334003 | danger_throttle: 1.0
Fajen raw_accel: (0.142746, 0.858184) | applied: (0.142746, 0.858184) | virtual_vel: (0.062773, 0.149505) | repulsion: 0.65449978364632 | danger_throttle: 1.0
Fajen raw_accel: (0.127896, 0.80555) | applied: (0.127896, 0.80555) | virtual_vel: (0.064905, 0.162931) | repulsion: 0.62856897083111 | danger_throttle: 1.0
Fajen raw_accel: (0.11357, 0.754162) | applied: (0.11357, 0.754162) | virtual_vel: (0.066798, 0.175501) | repulsion: 0.60352018452249 | danger_throttle: 1.0
Fajen raw_accel: (0.099787, 0.704091) | applied: (0.099787, 0.704091) | virtual_vel: (0.068461, 0.187236) | repulsion: 0.57930376660079 | danger_throttle: 1.0
Fajen raw_accel: (0.08656, 0.655388) | applied: (0.08656, 0.655388) | virtual_vel: (0.069904, 0.198159) | repulsion: 0.5558762345463 | danger_throttle: 1.0
Fajen raw_accel: (0.073898, 0.608097) | applied: (0.073898, 0.608097) | virtual_vel: (0.071135, 0.208294) | repulsion: 0.53319812263362 | danger_throttle: 1.0
Fajen raw_accel: (0.061807, 0.562249) | applied: (0.061807, 0.562249) | virtual_vel: (0.072165, 0.217664) | repulsion: 0.51123398472555 | danger_throttle: 1.0
Fajen raw_accel: (0.05029, 0.517866) | applied: (0.05029, 0.517866) | virtual_vel: (0.073003, 0.226296) | repulsion: 0.4899525588844 | danger_throttle: 1.0
Fajen raw_accel: (0.039346, 0.47496) | applied: (0.039346, 0.47496) | virtual_vel: (0.073659, 0.234212) | repulsion: 0.46932635642588 | danger_throttle: 1.0
Fajen raw_accel: (0.028973, 0.433537) | applied: (0.028973, 0.433537) | virtual_vel: (0.074142, 0.241437) | repulsion: 0.44932961184531 | danger_throttle: 1.0
Fajen raw_accel: (0.019163, 0.393595) | applied: (0.019163, 0.393595) | virtual_vel: (0.074462, 0.247997) | repulsion: 0.42994134011678 | danger_throttle: 1.0
Fajen raw_accel: (0.00991, 0.355127) | applied: (0.00991, 0.355127) | virtual_vel: (0.074627, 0.253916) | repulsion: 0.41114195145201 | danger_throttle: 1.0
Fajen raw_accel: (0.001205, 0.318119) | applied: (0.001205, 0.318119) | virtual_vel: (0.074647, 0.259218) | repulsion: 0.39291438960936 | danger_throttle: 1.0
Fajen raw_accel: (-0.006965, 0.282555) | applied: (-0.006965, 0.282555) | virtual_vel: (0.074531, 0.263927) | repulsion: 0.3752435951028 | danger_throttle: 1.0
Fajen raw_accel: (-0.01461, 0.248415) | applied: (-0.01461, 0.248415) | virtual_vel: (0.074287, 0.268067) | repulsion: 0.35811612347607 | danger_throttle: 1.0
Fajen raw_accel: (-0.021745, 0.215674) | applied: (-0.021745, 0.215674) | virtual_vel: (0.073925, 0.271662) | repulsion: 0.34152060223278 | danger_throttle: 1.0
Fajen raw_accel: (-0.028384, 0.184306) | applied: (-0.028384, 0.184306) | virtual_vel: (0.073452, 0.274734) | repulsion: 0.32544635911472 | danger_throttle: 1.0
Fajen raw_accel: (-0.034542, 0.154284) | applied: (-0.034542, 0.154284) | virtual_vel: (0.072876, 0.277305) | repulsion: 0.3098841708852 | danger_throttle: 1.0
Fajen raw_accel: (-0.040235, 0.125577) | applied: (-0.040235, 0.125577) | virtual_vel: (0.072205, 0.279398) | repulsion: 0.29482568509411 | danger_throttle: 1.0
Fajen raw_accel: (-0.04548, 0.098154) | applied: (-0.04548, 0.098154) | virtual_vel: (0.071447, 0.281034) | repulsion: 0.28026303462684 | danger_throttle: 1.0
Fajen raw_accel: (-0.050293, 0.071983) | applied: (-0.050293, 0.071983) | virtual_vel: (0.070609, 0.282234) | repulsion: 0.26618929288816 | danger_throttle: 1.0
